OTUID	LF-1.fq	LF-6.fq	B80-1.fq	B80-4.fq	LF-2.fq	LF-3.fq	B80-5.fq	B80-6.fq	B80-2.fq	LF-4.fq	LF-5.fq	B80-3.fq
810700	9	3	0	2	3	2	5	7	1	1	2	2
578659	3	1	3	3	2	4	1	1	3	2	3	2
562177	62	186	123	253	92	89	155	170	132	152	196	165
847080	2	4	3	4	3	4	6	0	3	6	3	1
443417	7	27	10	4	7	20	7	13	2	14	3	4
923789	26	236	13	45	12	70	6	585	4	21	32	12
4298577	10	8	1	7	7	12	5	3	4	3	9	6
241499	1	0	0	1	0	0	0	0	0	0	0	0
2503686	2	0	0	0	0	1	1	1	1	1	0	0
539423	10	13	2	13	6	4	12	15	5	10	9	8
592301	20	30	35	42	12	4	30	43	36	24	16	134
1137392	3	1	3	1	1	1	0	1	4	0	0	1
240137	15	8	4	3	2	9	2	1	4	4	4	3
463546	8	23	17	13	23	1	24	17	7	9	14	16
791738	70	29	40	39	34	11	62	78	81	30	22	49
1060517	29	40	0	1	27	36	2	2	2	15	43	4
1109445	6	0	0	2	3	0	3	3	0	1	0	0
589769	2	1	0	1	1	2	0	0	1	0	1	1
4417093	4	5	3	7	3	6	3	3	5	6	4	1
276168	41	116	324	18	58	22	28	75	28	24	68	94
722895	59	4	5	0	1	2	0	2	1	3	2	2
249571	62	82	153	42	53	54	51	40	68	16	31	45
582921	19	16	9	6	19	12	17	13	9	14	7	7
2867533	4	1	0	0	29	1	7	1	2	0	0	0
253155	4	7	2	1	3	5	0	2	1	2	4	1
731707	63	51	53	34	53	29	101	72	94	27	36	63
1132837	24	17	20	18	14	14	6	19	22	8	8	40
330737	60	1	0	1	1	0	0	0	0	0	0	1
641923	73	164	61	52	55	58	169	128	75	17	24	32
514041	135	134	85	114	101	120	164	124	120	79	100	66
52982	52	44	19	43	24	93	41	23	31	76	50	20
114292	79	135	71	93	134	131	137	122	87	88	90	65
218539	13	5	3	5	5	11	1	2	8	7	11	5
365415	27	25	28	22	16	28	39	43	28	25	48	27
519510	55	19	6	13	15	14	7	24	19	19	13	11
4465158	22	18	8	9	13	18	18	13	13	6	12	7
345135	3	1	0	0	0	0	0	0	0	0	6	0
256823	22	15	16	29	14	8	24	22	22	21	8	25
