	B8011	B8012	B8013	LF11	LF12	LF13	B8021	B8022	B8023	LF21	LF22	LF23	id
150	0	0	0	95176.837	111025.705	86427.8	0	0	0	41818.086	29785.577	39329.843	Analyte 152
151	79.432	75.5835	71.735	19172.11	21856.361	17441.615	0	0	0	4963.788	1819.154	5334.863	unknown
152	0	0	0	284647.825	313304.589	245254.715	0	0	0	0	0	0	acetanilide 2
153	4004690.27	6702257.1	6046797.31	6576334.7	6887733.4	5738876.35	5197514.66	3172336.9	4222855.61	1264390.67	660445.123	757868.125	O-acetylserine 2
154	3264377.75	4364624.2	4323552.76	9184284.92	9176807.84	7816466.31	820729.638	473079.233	823465.633	2368396.77	1563523.26	1597132.95	2-Deoxyerythritol
155	0	0	0	211458.686	194077.371	186695.491	0	0	0	0	0	0	nicotinic acid
156	0	0	0	83423.409	91039.675	98675.889	0	0	0	0	0	0	unknown
157	0	0	0	60646.776	59269.105	55929.562	0	0	0	12222.026	12078.134	11811.704	Isoleucine
158	34908.273	18098.487	16165.053	9266.717	6470.67	6348.078	18164.622	30683.072	35896.296	16455.642	15490.098	28002.236	Analyte 160
159	0	0	0	30654.071	33016.632	26674.828	22552.943	15303.364	25002.924	47527.002	34002.094	36271.166	Analyte 161
160	55569.73	137157.906	122383.796	423041.052	548155.392	364138.529	216270.119	135589.399	233013.349	149174.472	101275.736	122421.567	O-methylthreonine 1
161	45756.297	59794.993	52562.616	18599.006	21504.718	15912.68	116662.966	81812.281	107044.421	65406.701	44538.492	46972.306	Analyte 163
162	0	0	0	0	0	0	9383.516	4243.525	8247.675	0	0	0	Analyte 165
163	0	0	0	22119.318	22685.948	19040.529	0	0	0	24881.656	22584.037	27179.275	Analyte 166
164	0	0	0	0	0	0	17263.336	9409.355	15420.734	0	0	0	Analyte 167
165	0	0	0	0	0	0	0	0	0	14396.53	11293.41	10716.258	unknown
166	1298176.94	1980088.37	1997672.98	2134566.96	2273871.87	2045220.45	1463021.5	1137498.89	1521715.28	2024971.42	1380119.48	1475649.48	glycine 2
167	1327080.92	1878198.32	1810965.26	1340076.07	1425448.79	1224745.08	1159724.74	886367.718	1207892.12	2289452.88	1615472.37	1668062.52	succinic acid
168	0	0	0	24235.346	12404.907	22543.017	0	0	0	15957.421	14920.361	13883.301	unknown
169	0	0	0	83209.339	93442.243	87765.951	0	0	0	0	0	0	Analyte 172
170	19016.542	9010.277	12990.5	0	0	0	9728.18	6601.298	8164.739	0	0	0	Analyte 173
